question,option,input_type,input_id,dependence,dependence_value,required
Rank skills for Topic: Entrepreneurship,Creating a Business Vision,rank_{{12}},skills_entr1,topic1,"Entrepreneurship (Creating a Business Vision, Business Plan & Pitch, Decision-Making, Innovation, Risk-Taking, Legal, Promotion/Marketing, Finances, Venture Capital, Angel Investors, Measuring Success, Exit Strategy)",TRUE
Rank skills for Topic: Entrepreneurship,Business Plan & Pitch,rank_{{12}},skills_entr2,topic1,"Entrepreneurship (Creating a Business Vision, Business Plan & Pitch, Decision-Making, Innovation, Risk-Taking, Legal, Promotion/Marketing, Finances, Venture Capital, Angel Investors, Measuring Success, Exit Strategy)",TRUE
Rank skills for Topic: Entrepreneurship,Decision-Making,rank_{{12}},skills_entr3,topic1,"Entrepreneurship (Creating a Business Vision, Business Plan & Pitch, Decision-Making, Innovation, Risk-Taking, Legal, Promotion/Marketing, Finances, Venture Capital, Angel Investors, Measuring Success, Exit Strategy)",TRUE
Rank skills for Topic: Entrepreneurship,Innovation,rank_{{12}},skills_entr4,topic1,"Entrepreneurship (Creating a Business Vision, Business Plan & Pitch, Decision-Making, Innovation, Risk-Taking, Legal, Promotion/Marketing, Finances, Venture Capital, Angel Investors, Measuring Success, Exit Strategy)",TRUE
Rank skills for Topic: Entrepreneurship,Risk-Taking,rank_{{12}},skills_entr5,topic1,"Entrepreneurship (Creating a Business Vision, Business Plan & Pitch, Decision-Making, Innovation, Risk-Taking, Legal, Promotion/Marketing, Finances, Venture Capital, Angel Investors, Measuring Success, Exit Strategy)",TRUE
Rank skills for Topic: Entrepreneurship,Legal,rank_{{12}},skills_entr6,topic1,"Entrepreneurship (Creating a Business Vision, Business Plan & Pitch, Decision-Making, Innovation, Risk-Taking, Legal, Promotion/Marketing, Finances, Venture Capital, Angel Investors, Measuring Success, Exit Strategy)",TRUE
Rank skills for Topic: Entrepreneurship,Promotion/Marketing,rank_{{12}},skills_entr7,topic1,"Entrepreneurship (Creating a Business Vision, Business Plan & Pitch, Decision-Making, Innovation, Risk-Taking, Legal, Promotion/Marketing, Finances, Venture Capital, Angel Investors, Measuring Success, Exit Strategy)",TRUE
Rank skills for Topic: Entrepreneurship,Finances,rank_{{12}},skills_entr8,topic1,"Entrepreneurship (Creating a Business Vision, Business Plan & Pitch, Decision-Making, Innovation, Risk-Taking, Legal, Promotion/Marketing, Finances, Venture Capital, Angel Investors, Measuring Success, Exit Strategy)",TRUE
Rank skills for Topic: Entrepreneurship,Venture Capital,rank_{{12}},skills_entr9,topic1,"Entrepreneurship (Creating a Business Vision, Business Plan & Pitch, Decision-Making, Innovation, Risk-Taking, Legal, Promotion/Marketing, Finances, Venture Capital, Angel Investors, Measuring Success, Exit Strategy)",TRUE
Rank skills for Topic: Entrepreneurship,Angel Investors,rank_{{12}},skills_entr10,topic1,"Entrepreneurship (Creating a Business Vision, Business Plan & Pitch, Decision-Making, Innovation, Risk-Taking, Legal, Promotion/Marketing, Finances, Venture Capital, Angel Investors, Measuring Success, Exit Strategy)",TRUE
Rank skills for Topic: Entrepreneurship,Measuring Success,rank_{{12}},skills_entr11,topic1,"Entrepreneurship (Creating a Business Vision, Business Plan & Pitch, Decision-Making, Innovation, Risk-Taking, Legal, Promotion/Marketing, Finances, Venture Capital, Angel Investors, Measuring Success, Exit Strategy)",TRUE
Rank skills for Topic: Entrepreneurship,Exit Strategy,rank_{{12}},skills_entr12,topic1,"Entrepreneurship (Creating a Business Vision, Business Plan & Pitch, Decision-Making, Innovation, Risk-Taking, Legal, Promotion/Marketing, Finances, Venture Capital, Angel Investors, Measuring Success, Exit Strategy)",TRUE
Rank skills for Topic: Interpersonal Relationships,Networking,rank_{{5}},skills_intrp_rel1,topic1,"Interpersonal Relationships (Networking, Conversational Intelligence, Office Politics/Corporate Culture) Active Listening, Cross-Cultural Dynamics)",TRUE
Rank skills for Topic: Interpersonal Relationships,Conversational Intelligence,rank_{{5}},skills_intrp_rel2,topic1,"Interpersonal Relationships (Networking, Conversational Intelligence, Office Politics/Corporate Culture) Active Listening, Cross-Cultural Dynamics)",TRUE
Rank skills for Topic: Interpersonal Relationships,Office Politics/Corporate Culture,rank_{{5}},skills_intrp_rel3,topic1,"Interpersonal Relationships (Networking, Conversational Intelligence, Office Politics/Corporate Culture) Active Listening, Cross-Cultural Dynamics)",TRUE
Rank skills for Topic: Interpersonal Relationships,Active Listening,rank_{{5}},skills_intrp_rel4,topic1,"Interpersonal Relationships (Networking, Conversational Intelligence, Office Politics/Corporate Culture) Active Listening, Cross-Cultural Dynamics)",TRUE
Rank skills for Topic: Interpersonal Relationships,Cross-Cultural Dynamics,rank_{{5}},skills_intrp_rel5,topic1,"Interpersonal Relationships (Networking, Conversational Intelligence, Office Politics/Corporate Culture) Active Listening, Cross-Cultural Dynamics)",TRUE
Rank skills for Topic: Leadership: Personal,Planning,rank_{{9}},skills_ldr_prs1,topic1,"Leadership: Personal (Planning, Execution, Analysis, Effectiveness & Efficiency, Influence, Adaptability, Unconscious Bias, Milestone Focus, Budget Management)",TRUE
Rank skills for Topic: Leadership: Personal,Execution,rank_{{9}},skills_ldr_prs2,topic1,"Leadership: Personal (Planning, Execution, Analysis, Effectiveness & Efficiency, Influence, Adaptability, Unconscious Bias, Milestone Focus, Budget Management)",TRUE
Rank skills for Topic: Leadership: Personal,Analysis,rank_{{9}},skills_ldr_prs3,topic1,"Leadership: Personal (Planning, Execution, Analysis, Effectiveness & Efficiency, Influence, Adaptability, Unconscious Bias, Milestone Focus, Budget Management)",TRUE
Rank skills for Topic: Leadership: Personal,Effectiveness & Efficiency,rank_{{9}},skills_ldr_prs4,topic1,"Leadership: Personal (Planning, Execution, Analysis, Effectiveness & Efficiency, Influence, Adaptability, Unconscious Bias, Milestone Focus, Budget Management)",TRUE
Rank skills for Topic: Leadership: Personal,Influence,rank_{{9}},skills_ldr_prs5,topic1,"Leadership: Personal (Planning, Execution, Analysis, Effectiveness & Efficiency, Influence, Adaptability, Unconscious Bias, Milestone Focus, Budget Management)",TRUE
Rank skills for Topic: Leadership: Personal,Adaptability,rank_{{9}},skills_ldr_prs6,topic1,"Leadership: Personal (Planning, Execution, Analysis, Effectiveness & Efficiency, Influence, Adaptability, Unconscious Bias, Milestone Focus, Budget Management)",TRUE
Rank skills for Topic: Leadership: Personal,Unconscious Bias,rank_{{9}},skills_ldr_prs7,topic1,"Leadership: Personal (Planning, Execution, Analysis, Effectiveness & Efficiency, Influence, Adaptability, Unconscious Bias, Milestone Focus, Budget Management)",TRUE
Rank skills for Topic: Leadership: Personal,Milestone Focus,rank_{{9}},skills_ldr_prs8,topic1,"Leadership: Personal (Planning, Execution, Analysis, Effectiveness & Efficiency, Influence, Adaptability, Unconscious Bias, Milestone Focus, Budget Management)",TRUE
Rank skills for Topic: Leadership: Personal,Budget Management,rank_{{9}},skills_ldr_prs9,topic1,"Leadership: Personal (Planning, Execution, Analysis, Effectiveness & Efficiency, Influence, Adaptability, Unconscious Bias, Milestone Focus, Budget Management)",TRUE
Rank skills for Topic: Leadership: Team,Relationship Building,rank_{{11}},skills_ldr_tm1,topic1,"Leadership: Team (Relationship Building, Inclusion, Communication, Collaboration, Motivation, Managing, Delivery, Performance Metrics, People Development, Diversity, Corporate Alignment)",TRUE
Rank skills for Topic: Leadership: Team,Inclusion,rank_{{11}},skills_ldr_tm2,topic1,"Leadership: Team (Relationship Building, Inclusion, Communication, Collaboration, Motivation, Managing, Delivery, Performance Metrics, People Development, Diversity, Corporate Alignment)",TRUE
Rank skills for Topic: Leadership: Team,Communication,rank_{{11}},skills_ldr_tm3,topic1,"Leadership: Team (Relationship Building, Inclusion, Communication, Collaboration, Motivation, Managing, Delivery, Performance Metrics, People Development, Diversity, Corporate Alignment)",TRUE
Rank skills for Topic: Leadership: Team,Collaboration,rank_{{11}},skills_ldr_tm4,topic1,"Leadership: Team (Relationship Building, Inclusion, Communication, Collaboration, Motivation, Managing, Delivery, Performance Metrics, People Development, Diversity, Corporate Alignment)",TRUE
Rank skills for Topic: Leadership: Team,Motivation,rank_{{11}},skills_ldr_tm5,topic1,"Leadership: Team (Relationship Building, Inclusion, Communication, Collaboration, Motivation, Managing, Delivery, Performance Metrics, People Development, Diversity, Corporate Alignment)",TRUE
Rank skills for Topic: Leadership: Team,Managing,rank_{{11}},skills_ldr_tm6,topic1,"Leadership: Team (Relationship Building, Inclusion, Communication, Collaboration, Motivation, Managing, Delivery, Performance Metrics, People Development, Diversity, Corporate Alignment)",TRUE
Rank skills for Topic: Leadership: Team,Delivery,rank_{{11}},skills_ldr_tm7,topic1,"Leadership: Team (Relationship Building, Inclusion, Communication, Collaboration, Motivation, Managing, Delivery, Performance Metrics, People Development, Diversity, Corporate Alignment)",TRUE
Rank skills for Topic: Leadership: Team,Performance Metrics,rank_{{11}},skills_ldr_tm8,topic1,"Leadership: Team (Relationship Building, Inclusion, Communication, Collaboration, Motivation, Managing, Delivery, Performance Metrics, People Development, Diversity, Corporate Alignment)",TRUE
Rank skills for Topic: Leadership: Team,People Development,rank_{{11}},skills_ldr_tm9,topic1,"Leadership: Team (Relationship Building, Inclusion, Communication, Collaboration, Motivation, Managing, Delivery, Performance Metrics, People Development, Diversity, Corporate Alignment)",TRUE
Rank skills for Topic: Leadership: Team,Diversity,rank_{{11}},skills_ldr_tm10,topic1,"Leadership: Team (Relationship Building, Inclusion, Communication, Collaboration, Motivation, Managing, Delivery, Performance Metrics, People Development, Diversity, Corporate Alignment)",TRUE
Rank skills for Topic: Leadership: Team,Corporate Alignment,rank_{{11}},skills_ldr_tm11,topic1,"Leadership: Team (Relationship Building, Inclusion, Communication, Collaboration, Motivation, Managing, Delivery, Performance Metrics, People Development, Diversity, Corporate Alignment)",TRUE
Rank skills for Topic: Leadership: Strategic,Strategic Thinking,rank_{{10}},skills_ldr_str1,topic1,"Leadership: Strategic (Strategic Thinking, Business Knowledge, Big Picture, Vision and Mission, Global Perspective, Financial Acumen, Innovation, Company Priorities, Stakeholder Awareness, Due Diligence)",TRUE
Rank skills for Topic: Leadership: Strategic,Business Knowledge,rank_{{10}},skills_ldr_str2,topic1,"Leadership: Strategic (Strategic Thinking, Business Knowledge, Big Picture, Vision and Mission, Global Perspective, Financial Acumen, Innovation, Company Priorities, Stakeholder Awareness, Due Diligence)",TRUE
Rank skills for Topic: Leadership: Strategic,Big Picture,rank_{{10}},skills_ldr_str3,topic1,"Leadership: Strategic (Strategic Thinking, Business Knowledge, Big Picture, Vision and Mission, Global Perspective, Financial Acumen, Innovation, Company Priorities, Stakeholder Awareness, Due Diligence)",TRUE
Rank skills for Topic: Leadership: Strategic,Vision and Mission,rank_{{10}},skills_ldr_str4,topic1,"Leadership: Strategic (Strategic Thinking, Business Knowledge, Big Picture, Vision and Mission, Global Perspective, Financial Acumen, Innovation, Company Priorities, Stakeholder Awareness, Due Diligence)",TRUE
Rank skills for Topic: Leadership: Strategic,Global Perspective,rank_{{10}},skills_ldr_str5,topic1,"Leadership: Strategic (Strategic Thinking, Business Knowledge, Big Picture, Vision and Mission, Global Perspective, Financial Acumen, Innovation, Company Priorities, Stakeholder Awareness, Due Diligence)",TRUE
Rank skills for Topic: Leadership: Strategic,Financial Acumen,rank_{{10}},skills_ldr_str6,topic1,"Leadership: Strategic (Strategic Thinking, Business Knowledge, Big Picture, Vision and Mission, Global Perspective, Financial Acumen, Innovation, Company Priorities, Stakeholder Awareness, Due Diligence)",TRUE
Rank skills for Topic: Leadership: Strategic,Innovation,rank_{{10}},skills_ldr_str7,topic1,"Leadership: Strategic (Strategic Thinking, Business Knowledge, Big Picture, Vision and Mission, Global Perspective, Financial Acumen, Innovation, Company Priorities, Stakeholder Awareness, Due Diligence)",TRUE
Rank skills for Topic: Leadership: Strategic,Company Priorities,rank_{{10}},skills_ldr_str8,topic1,"Leadership: Strategic (Strategic Thinking, Business Knowledge, Big Picture, Vision and Mission, Global Perspective, Financial Acumen, Innovation, Company Priorities, Stakeholder Awareness, Due Diligence)",TRUE
Rank skills for Topic: Leadership: Strategic,Stakeholder Awareness,rank_{{10}},skills_ldr_str9,topic1,"Leadership: Strategic (Strategic Thinking, Business Knowledge, Big Picture, Vision and Mission, Global Perspective, Financial Acumen, Innovation, Company Priorities, Stakeholder Awareness, Due Diligence)",TRUE
Rank skills for Topic: Leadership: Strategic,Due Diligence,rank_{{10}},skills_ldr_str10,topic1,"Leadership: Strategic (Strategic Thinking, Business Knowledge, Big Picture, Vision and Mission, Global Perspective, Financial Acumen, Innovation, Company Priorities, Stakeholder Awareness, Due Diligence)",TRUE
Rank skills for Topic: Personal Growth,Self-Advocacy,rank_{{7}},skills_per_gr1,topic1,"Personal Growth (Self-Advocacy, Confidence Building, Professional Presence, Personal Vision/Branding, Presentations, Adaptability, Negotiation)",TRUE
Rank skills for Topic: Personal Growth,Confidence Building,rank_{{7}},skills_per_gr2,topic1,"Personal Growth (Self-Advocacy, Confidence Building, Professional Presence, Personal Vision/Branding, Presentations, Adaptability, Negotiation)",TRUE
Rank skills for Topic: Personal Growth,Professional Presence,rank_{{7}},skills_per_gr3,topic1,"Personal Growth (Self-Advocacy, Confidence Building, Professional Presence, Personal Vision/Branding, Presentations, Adaptability, Negotiation)",TRUE
Rank skills for Topic: Personal Growth,Personal Vision/Branding,rank_{{7}},skills_per_gr4,topic1,"Personal Growth (Self-Advocacy, Confidence Building, Professional Presence, Personal Vision/Branding, Presentations, Adaptability, Negotiation)",TRUE
Rank skills for Topic: Personal Growth,Presentations,rank_{{7}},skills_per_gr5,topic1,"Personal Growth (Self-Advocacy, Confidence Building, Professional Presence, Personal Vision/Branding, Presentations, Adaptability, Negotiation)",TRUE
Rank skills for Topic: Personal Growth,Adaptability,rank_{{7}},skills_per_gr6,topic1,"Personal Growth (Self-Advocacy, Confidence Building, Professional Presence, Personal Vision/Branding, Presentations, Adaptability, Negotiation)",TRUE
Rank skills for Topic: Personal Growth,Negotiation,rank_{{7}},skills_per_gr7,topic1,"Personal Growth (Self-Advocacy, Confidence Building, Professional Presence, Personal Vision/Branding, Presentations, Adaptability, Negotiation)",TRUE
Rank skills for Topic: Transition,Resilience,rank_{{13}},skills_trs1,topic1,"Transition (Resilience, Organizational Change, Personal Change, Networking, LinkedIn & Public Presence, Values Assessment, Alternative Careers, Interviewing, Negotiation, To MBA or Not to MBA, Bridging Work Gaps, Decision-Making, Positive Energy)",TRUE
Rank skills for Topic: Transition,Organizational Change,rank_{{13}},skills_trs2,topic1,"Transition (Resilience, Organizational Change, Personal Change, Networking, LinkedIn & Public Presence, Values Assessment, Alternative Careers, Interviewing, Negotiation, To MBA or Not to MBA, Bridging Work Gaps, Decision-Making, Positive Energy)",TRUE
Rank skills for Topic: Transition,Personal Change,rank_{{13}},skills_trs3,topic1,"Transition (Resilience, Organizational Change, Personal Change, Networking, LinkedIn & Public Presence, Values Assessment, Alternative Careers, Interviewing, Negotiation, To MBA or Not to MBA, Bridging Work Gaps, Decision-Making, Positive Energy)",TRUE
Rank skills for Topic: Transition,Networking,rank_{{13}},skills_trs4,topic1,"Transition (Resilience, Organizational Change, Personal Change, Networking, LinkedIn & Public Presence, Values Assessment, Alternative Careers, Interviewing, Negotiation, To MBA or Not to MBA, Bridging Work Gaps, Decision-Making, Positive Energy)",TRUE
Rank skills for Topic: Transition,LinkedIn & Public Presence,rank_{{13}},skills_trs5,topic1,"Transition (Resilience, Organizational Change, Personal Change, Networking, LinkedIn & Public Presence, Values Assessment, Alternative Careers, Interviewing, Negotiation, To MBA or Not to MBA, Bridging Work Gaps, Decision-Making, Positive Energy)",TRUE
Rank skills for Topic: Transition,Values Assessment,rank_{{13}},skills_trs6,topic1,"Transition (Resilience, Organizational Change, Personal Change, Networking, LinkedIn & Public Presence, Values Assessment, Alternative Careers, Interviewing, Negotiation, To MBA or Not to MBA, Bridging Work Gaps, Decision-Making, Positive Energy)",TRUE
Rank skills for Topic: Transition,Alternative Careers,rank_{{13}},skills_trs7,topic1,"Transition (Resilience, Organizational Change, Personal Change, Networking, LinkedIn & Public Presence, Values Assessment, Alternative Careers, Interviewing, Negotiation, To MBA or Not to MBA, Bridging Work Gaps, Decision-Making, Positive Energy)",TRUE
Rank skills for Topic: Transition,Interviewing,rank_{{13}},skills_trs8,topic1,"Transition (Resilience, Organizational Change, Personal Change, Networking, LinkedIn & Public Presence, Values Assessment, Alternative Careers, Interviewing, Negotiation, To MBA or Not to MBA, Bridging Work Gaps, Decision-Making, Positive Energy)",TRUE
Rank skills for Topic: Transition,Negotiation,rank_{{13}},skills_trs9,topic1,"Transition (Resilience, Organizational Change, Personal Change, Networking, LinkedIn & Public Presence, Values Assessment, Alternative Careers, Interviewing, Negotiation, To MBA or Not to MBA, Bridging Work Gaps, Decision-Making, Positive Energy)",TRUE
Rank skills for Topic: Transition,To MBA or Not to MBA,rank_{{13}},skills_trs10,topic1,"Transition (Resilience, Organizational Change, Personal Change, Networking, LinkedIn & Public Presence, Values Assessment, Alternative Careers, Interviewing, Negotiation, To MBA or Not to MBA, Bridging Work Gaps, Decision-Making, Positive Energy)",TRUE
Rank skills for Topic: Transition,Bridging Work Gaps,rank_{{13}},skills_trs11,topic1,"Transition (Resilience, Organizational Change, Personal Change, Networking, LinkedIn & Public Presence, Values Assessment, Alternative Careers, Interviewing, Negotiation, To MBA or Not to MBA, Bridging Work Gaps, Decision-Making, Positive Energy)",TRUE
Rank skills for Topic: Transition,Decision-Making,rank_{{13}},skills_trs12,topic1,"Transition (Resilience, Organizational Change, Personal Change, Networking, LinkedIn & Public Presence, Values Assessment, Alternative Careers, Interviewing, Negotiation, To MBA or Not to MBA, Bridging Work Gaps, Decision-Making, Positive Energy)",TRUE
Rank skills for Topic: Transition,Positive Energy,rank_{{13}},skills_trs13,topic1,"Transition (Resilience, Organizational Change, Personal Change, Networking, LinkedIn & Public Presence, Values Assessment, Alternative Careers, Interviewing, Negotiation, To MBA or Not to MBA, Bridging Work Gaps, Decision-Making, Positive Energy)",TRUE
Rank skills for Topic: Work-Life Considerations,Personal and Professional Goals,rank_{{7}},skills_wk_lf1,topic1,"Work-Life Considerations (Personal and Professional Goals, Time management, Stress Management, Handling Information Overload, Re-visioning, Investing & Wealth Management, Life Coaching)",TRUE
Rank skills for Topic: Work-Life Considerations,Time management,rank_{{7}},skills_wk_lf2,topic1,"Work-Life Considerations (Personal and Professional Goals, Time management, Stress Management, Handling Information Overload, Re-visioning, Investing & Wealth Management, Life Coaching)",TRUE
Rank skills for Topic: Work-Life Considerations,Stress Management,rank_{{7}},skills_wk_lf3,topic1,"Work-Life Considerations (Personal and Professional Goals, Time management, Stress Management, Handling Information Overload, Re-visioning, Investing & Wealth Management, Life Coaching)",TRUE
Rank skills for Topic: Work-Life Considerations,Handling Information Overload,rank_{{7}},skills_wk_lf4,topic1,"Work-Life Considerations (Personal and Professional Goals, Time management, Stress Management, Handling Information Overload, Re-visioning, Investing & Wealth Management, Life Coaching)",TRUE
Rank skills for Topic: Work-Life Considerations,Re-visioning,rank_{{7}},skills_wk_lf5,topic1,"Work-Life Considerations (Personal and Professional Goals, Time management, Stress Management, Handling Information Overload, Re-visioning, Investing & Wealth Management, Life Coaching)",TRUE
Rank skills for Topic: Work-Life Considerations,Investing & Wealth Management,rank_{{7}},skills_wk_lf6,topic1,"Work-Life Considerations (Personal and Professional Goals, Time management, Stress Management, Handling Information Overload, Re-visioning, Investing & Wealth Management, Life Coaching)",TRUE
Rank skills for Topic: Work-Life Considerations,Life Coaching,rank_{{7}},skills_wk_lf7,topic1,"Work-Life Considerations (Personal and Professional Goals, Time management, Stress Management, Handling Information Overload, Re-visioning, Investing & Wealth Management, Life Coaching)",TRUE
What is your #2 topic of interest?,"Career Progression (Mentors/Coaches/Sponsors, Professional Networks, Strategies for Advancement, Project Management, Decision-Making, Being Innovative, Taking Risks)",mc,topic2,NA,NA,TRUE
What is your #2 topic of interest?,"Entrepreneurship (Creating a Business Vision, Business Plan & Pitch, Decision-Making, Innovation, Risk-Taking, Legal, Promotion/Marketing, Finances, Venture Capital, Angel Investors, Measuring Success, Exit Strategy)",mc,topic2,NA,NA,TRUE
What is your #2 topic of interest?,"Interpersonal Relationships (Networking, Conversational Intelligence, Office Politics/Corporate Culture) Active Listening, Cross-Cultural Dynamics)",mc,topic2,NA,NA,TRUE
What is your #2 topic of interest?,"Leadership: Personal (Planning, Execution, Analysis, Effectiveness & Efficiency, Influence, Adaptability, Unconscious Bias, Milestone Focus, Budget Management)",mc,topic2,NA,NA,TRUE
What is your #2 topic of interest?,"Leadership: Team (Relationship Building, Inclusion, Communication, Collaboration, Motivation, Managing, Delivery, Performance Metrics, People Development, Diversity, Corporate Alignment)",mc,topic2,NA,NA,TRUE
What is your #2 topic of interest?,"Leadership: Strategic (Strategic Thinking, Business Knowledge, Big Picture, Vision and Mission, Global Perspective, Financial Acumen, Innovation, Company Priorities, Stakeholder Awareness, Due Diligence)",mc,topic2,NA,NA,TRUE
What is your #2 topic of interest?,"Personal Growth (Self-Advocacy, Confidence Building, Professional Presence, Personal Vision/Branding, Presentations, Adaptability, Negotiation)",mc,topic2,NA,NA,TRUE
What is your #2 topic of interest?,"Transition (Resilience, Organizational Change, Personal Change, Networking, LinkedIn & Public Presence, Values Assessment, Alternative Careers, Interviewing, Negotiation, To MBA or Not to MBA, Bridging Work Gaps, Decision-Making, Positive Energy)",mc,topic2,NA,NA,TRUE
What is your #2 topic of interest?,"Work-Life Considerations (Personal and Professional Goals, Time management, Stress Management, Handling Information Overload, Re-visioning, Investing & Wealth Management, Life Coaching)",mc,topic2,NA,NA,TRUE
Feedback you want to share,,text,feedback,NA,NA,FALSE
